Heading,Link,Intro,Subheading,Definitions,Example,List_item,table_item,Image_url
cpp||Declare Multiple Variables,https://www.w3schools.com/cpp/cpp_variables_multiple.asp,,['Declare Many Variables'],"['To declare more than one variable of the same type, \nuse a comma-separated list:']","['\n  int x = 5, y = 6, z = 50;cout << \n  x + y + z;']",[''],[],[]
cpp||Identifiers,https://www.w3schools.com/cpp/cpp_variables_identifiers.asp,,['C++ Identifiers'],"['All C++ variables must be\nidentified with unique names.These unique names are called identifiers.Identifiers can be short names (like x and y) or more descriptive names (age, sum, totalVolume).Note: It is recommended to use descriptive names in order to \ncreate understandable and maintainable code:The general rules for naming variables are:']","['\n  // Goodint minutesPerHour = 60;// OK, but not so easy to \n  understand what m actually isint  \n  m = 60;']","['C++ Identifiers###&&&|||Names can contain letters, digits and underscores|||Names must begin with a letter or an underscore (_)|||Names are case sensitive (myVar and myvar are different variables)|||Names cannot contain whitespaces or special characters like !, #, %, etc.|||Reserved words (like C++ keywords, such as int) cannot be used as names|||']",[],[]
cpp||Constants,https://www.w3schools.com/cpp/cpp_variables_constants.asp,,['Constants'],"['When you do not want others (or yourself) to override existing variable values, use the const keyword (this will declare the \nvariable as ""constant"", which means unchangeable and read-only):You should always declare the variable as constant when you have values that are unlikely to change:']","[""\nconst int myNum = 15;\xa0 // myNum will always be 15myNum = 10;\xa0 // error: \n  assignment of read-only variable 'myNum' &&&&&& \nconst int minutesPerHour = 60;\nconst float PI = 3.14;""]",[''],[],[]
cpp||User Input,https://www.w3schools.com/cpp/cpp_user_input.asp,,"['C++ User Input', 'Creating a Simple Calculator']","['You have already learned that cout is used to output (print) values. Now we will use cin to get user input.cin is a predefined variable that reads data from the keyboard with the extraction operator (>>).In the following example, the user can input a number, which is stored in the \nvariable x. Then we print the value of x:', 'In this example, the user must input two numbers. Then we print the \nsum by calculating (adding) the two numbers:There you go! You just built a basic calculator!']","['\n  int x;\xa0cout << ""Type a number: ""; // Type a number and \n  press entercin >> x; // Get user \n  input from the keyboardcout << ""Your number is: "" << x; \n  // Display the input value', '\n  int x, y;int sum;cout << ""Type a number: "";cin >> x;cout << ""Type another number: "";cin >> \n  y;sum = x + y;cout << ""Sum is: "" << sum;']",[''],[],[]
cpp||Data Types,https://www.w3schools.com/cpp/cpp_data_types.asp,,"['C++ Data Types', 'Basic Data Types']","['As explained in the Variables chapter, a variable in C++ must be a specified data type:', 'The data type specifies the size and type of information the variable will store:']","['\n  int myNum = 5;\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Integer (whole number)float myFloatNum = 5.99;\xa0\xa0\xa0\xa0 \n  // Floating point numberdouble myDoubleNum = 9.98;\xa0 \xa0// Floating point numberchar myLetter = \'D\';\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Characterbool \n  myBoolean = true;\xa0\xa0\xa0\xa0\xa0\xa0 // Booleanstring myText = ""Hello"";\xa0\xa0\xa0\xa0 \n  // String', '']",[''],"['Data Type|||Size|||Description|||&&&int|||4 bytes|||Stores whole numbers, without decimals|||&&&float|||4 bytes|||Stores fractional numbers, containing one or more decimals. Sufficient for \nstoring 7 decimal digits|||&&&double|||8 bytes|||Stores fractional numbers, containing one or more decimals. Sufficient for \nstoring 15 decimal digits|||&&&boolean|||1 byte|||Stores true or false values|||&&&char|||1 byte|||Stores a single character/letter/number, or ASCII values|||&&&']",[]
cpp||Data Types,https://www.w3schools.com/cpp/cpp_data_types.asp,,"['C++ Data Types', 'Basic Data Types']","['As explained in the Variables chapter, a variable in C++ must be a specified data type:', 'The data type specifies the size and type of information the variable will store:']","['\n  int myNum = 5;\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Integer (whole number)float myFloatNum = 5.99;\xa0\xa0\xa0\xa0 \n  // Floating point numberdouble myDoubleNum = 9.98;\xa0 \xa0// Floating point numberchar myLetter = \'D\';\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Characterbool \n  myBoolean = true;\xa0\xa0\xa0\xa0\xa0\xa0 // Booleanstring myText = ""Hello"";\xa0\xa0\xa0\xa0 \n  // String', '']",[''],"['Data Type|||Size|||Description|||&&&int|||4 bytes|||Stores whole numbers, without decimals|||&&&float|||4 bytes|||Stores fractional numbers, containing one or more decimals. Sufficient for \nstoring 7 decimal digits|||&&&double|||8 bytes|||Stores fractional numbers, containing one or more decimals. Sufficient for \nstoring 15 decimal digits|||&&&boolean|||1 byte|||Stores true or false values|||&&&char|||1 byte|||Stores a single character/letter/number, or ASCII values|||&&&']",[]
cpp||Numeric Data Types,https://www.w3schools.com/cpp/cpp_data_types_numeric.asp,,['Numeric Types'],"['Use int when you need to store a whole number without decimals, like 35 or 1000, and float or double when you need a \nfloating point number (with decimals), like 9.99 or 3.14515.A floating point number can also be a scientific number with an ""e"" to indicate the power of 10:']",[''],[''],[],[]
cpp||Boolean Data Types,https://www.w3schools.com/cpp/cpp_data_types_bool.asp,,['Boolean Types'],"['A boolean data type is declared with the bool keyword and can only take the values true or false. When the value is returned, true \n= 1 and false \n= 0.']",['\n  bool isCodingFun = true;bool isFishTasty = false;cout << isCodingFun;\xa0 \n  // Outputs 1 (true)cout << isFishTasty;\xa0 // Outputs 0 (false)'],[''],[],[]
cpp||Character Data Types,https://www.w3schools.com/cpp/cpp_data_types_char.asp,,['Character Types'],"[""The char data type is used to store a \nsingle character. The character must be \nsurrounded by single quotes, like 'A' or 'c':Alternatively, you can use ASCII values to display certain characters:Tip: A list of all ASCII values can be found in our ASCII Table Reference.""]","[""\n  char myGrade = 'B';\n  cout << myGrade; &&&&&& \n  char a = 65, b = 66, c = 67;cout << a;cout << b;cout << c;""]",[''],[],[]
cpp||String Data Types,https://www.w3schools.com/cpp/cpp_data_types_string.asp,,['String Types'],"['The string type is used to store a sequence of characters (text). \nThis is not a built-in type, but it behaves like one in its most basic usage. String values must be surrounded by double quotes:To use strings, you must include an additional header file in the source \ncode, the <string> library:']","['\n  string greeting = ""Hello"";cout << greeting; &&&&&& \n  // Include the string library#include <string>// Create a string variablestring greeting = ""Hello"";\n// Output string valuecout << greeting;']",[''],[],[]
cpp||Operators,https://www.w3schools.com/cpp/cpp_operators.asp,,"['C++ Operators', 'Arithmetic Operators']","['Operators are used to perform operations on variables and values.In the example below, we use the\n+ operator to add together two values:Although the + operator is often used to add together two values, like in the example above, it can also be used to add together a variable and a value, or a variable and another variable:C++ divides the operators into the following groups:', 'Arithmetic operators are used to perform common mathematical operations.']","['\n  int x = 100 + 50; &&&&&& \n  int sum1 = 100 + 50;\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // 150 (100 + 50)\n  int sum2 = sum1 + 250;\xa0\xa0\xa0\xa0\xa0 // 400 (150 + 250)\n  int sum3 = sum2 + sum2;\xa0\xa0\xa0\xa0 // 800 (400 + 400)', '']",['C++ Operators###&&&|||Arithmetic operators|||Assignment operators|||Comparison operators|||Logical operators|||Bitwise operators|||'],['Operator|||Name|||Description|||Example|||Try it|||&&&+|||Addition|||Adds together two values|||x + y|||Try it »|||&&&-|||Subtraction|||Subtracts one value from another|||x - y|||Try it »|||&&&*|||Multiplication|||Multiplies two values|||x * y|||Try it »|||&&&/|||Division|||Divides one value by another|||x / y|||Try it »|||&&&%|||Modulus|||Returns the division remainder|||x % y|||Try it »|||&&&++|||Increment|||Increases the value of a variable by 1|||++x|||Try it »|||&&&--|||Decrement|||Decreases the value of a variable by 1|||--x|||Try it »|||&&&'],[]
cpp||Operators,https://www.w3schools.com/cpp/cpp_operators.asp,,"['C++ Operators', 'Arithmetic Operators']","['Operators are used to perform operations on variables and values.In the example below, we use the\n+ operator to add together two values:Although the + operator is often used to add together two values, like in the example above, it can also be used to add together a variable and a value, or a variable and another variable:C++ divides the operators into the following groups:', 'Arithmetic operators are used to perform common mathematical operations.']","['\n  int x = 100 + 50; &&&&&& \n  int sum1 = 100 + 50;\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // 150 (100 + 50)\n  int sum2 = sum1 + 250;\xa0\xa0\xa0\xa0\xa0 // 400 (150 + 250)\n  int sum3 = sum2 + sum2;\xa0\xa0\xa0\xa0 // 800 (400 + 400)', '']",['C++ Operators###&&&|||Arithmetic operators|||Assignment operators|||Comparison operators|||Logical operators|||Bitwise operators|||'],['Operator|||Name|||Description|||Example|||Try it|||&&&+|||Addition|||Adds together two values|||x + y|||Try it »|||&&&-|||Subtraction|||Subtracts one value from another|||x - y|||Try it »|||&&&*|||Multiplication|||Multiplies two values|||x * y|||Try it »|||&&&/|||Division|||Divides one value by another|||x / y|||Try it »|||&&&%|||Modulus|||Returns the division remainder|||x % y|||Try it »|||&&&++|||Increment|||Increases the value of a variable by 1|||++x|||Try it »|||&&&--|||Decrement|||Decreases the value of a variable by 1|||--x|||Try it »|||&&&'],[]
cpp||Assignment Operators,https://www.w3schools.com/cpp/cpp_operators_assignment.asp,,['Assignment Operators'],"['Assignment operators are used to assign values to variables.In the example below, we use the assignment operator (=) \nto assign the value 10 to a variable called x:The addition assignment operator (+=) adds a value to a variable:A list of all assignment operators:']",[''],[''],['Operator|||Example|||Same As|||Try it|||&&&=|||x = 5|||x = 5|||Try it »|||&&&+=|||x += 3|||x = x + 3|||Try it »|||&&&-=|||x -= 3|||x = x - 3|||Try it »|||&&&*=|||x *= 3|||x = x * 3|||Try it »|||&&&/=|||x /= 3|||x = x / 3|||Try it »|||&&&%=|||x %= 3|||x = x % 3|||Try it »|||&&&&=|||x &= 3|||x = x & 3|||Try it »|||&&&|=|||x |= 3|||x = x | 3|||Try it »|||&&&^=|||x ^= 3|||x = x ^ 3|||Try it »|||&&&>>=|||x >>= 3|||x = x >> 3|||Try it »|||&&&<<=|||x <<= 3|||x = x << 3|||Try it »|||&&&'],[]
cpp||Comparison Operators,https://www.w3schools.com/cpp/cpp_operators_comparison.asp,,['Comparison Operators'],"['Comparison operators are used to compare two values.Note: The return value of a comparison is either true (1) or false (0).In the following example, we use the greater than operator (>) to find out if 5 is greater than 3:A list of all comparison operators:']",[''],[''],['Operator|||Name|||Example|||Try it|||&&&==|||Equal to|||x == y|||Try it »|||&&&!=|||Not equal|||x != y|||Try it »|||&&&>|||Greater than|||x > y|||Try it »|||&&&<|||Less than|||x < y|||Try it »|||&&&>=|||Greater than or equal to|||x >= y|||Try it »|||&&&<=|||Less than or equal to|||x <= y|||Try it »|||&&&'],[]
cpp||Logical Operators,https://www.w3schools.com/cpp/cpp_operators_logical.asp,,['Logical Operators'],['Logical operators are used to determine the logic between variables or \nvalues:'],[''],[''],"['Operator|||Name|||Description|||Example|||Try it|||&&&&&\xa0|||Logical and|||Returns true if both statements are true|||x < 5 &&\xa0 x < 10|||Try it »|||&&&||\xa0|||Logical or|||Returns true if one of the statements is true|||x < 5 || x < 4|||Try it »|||&&&!|||Logical not|||Reverse the result, returns false if the result is true|||!(x < 5 && x < 10)|||Try it »|||&&&']",[]
cpp||Strings,https://www.w3schools.com/cpp/cpp_strings.asp,,['C++ Strings'],"['Strings are used for storing text.A string variable contains a collection of characters surrounded by double quotes:To use strings, you must include an additional header file in the source \ncode, the <string> library:']","['\n  string greeting = ""Hello""; &&&&&& \n  // Include the string library#include <string>// Create a string variablestring greeting = ""Hello"";']",[''],[],[]
cpp||Strings,https://www.w3schools.com/cpp/cpp_strings.asp,,['C++ Strings'],"['Strings are used for storing text.A string variable contains a collection of characters surrounded by double quotes:To use strings, you must include an additional header file in the source \ncode, the <string> library:']","['\n  string greeting = ""Hello""; &&&&&& \n  // Include the string library#include <string>// Create a string variablestring greeting = ""Hello"";']",[''],[],[]
cpp||String Concatenation,https://www.w3schools.com/cpp/cpp_strings_concat.asp,,"['String Concatenation', 'Append']","['The + operator can be used between strings to add them together to make a new \nstring. This is called concatenation:In the example above, we added a space after firstName to create a space \nbetween John and Doe on output. However, you could also add a space with quotes ("" "" or \' \'):', 'A string in C++ is actually an object, which contain functions that can perform certain operations on strings. For example, you can also concatenate strings with the append() function:']","['\n  string firstName = ""John "";string lastName = ""Doe"";string fullName = \n  firstName + lastName;cout << fullName; &&&&&& \n  string firstName = ""John"";string lastName = ""Doe"";string fullName = \n  firstName + "" "" + lastName;cout << fullName;', '']",[''],[],[]
cpp||Numbers and Strings,https://www.w3schools.com/cpp/cpp_strings_numbers.asp,,['Adding Numbers and Strings'],"['If you add two numbers, the result will be a number:If you add two strings, the result will be a string concatenation:If you try to add a number to a string, an error occurs:']","['\n  int x = 10;\n  int y = 20;\n  int z = x + y;\xa0\xa0\xa0\xa0\xa0\xa0// z will be 30 (an integer)\n &&&&&& \n  string x = ""10"";\n  string y = ""20"";\n  string z = x + y;\xa0\xa0 // z will be 1020 (a string)\n &&&&&& \n  string x = ""10"";\n  int y = 20;\n  string z = x + y;']",[''],[],[]
cpp||String Length,https://www.w3schools.com/cpp/cpp_strings_length.asp,,['String Length'],"['To get the length of a string, use the length() function:Tip: You might see some C++ programs that use the size() function to get the length of a string. This is \njust an alias of length(). It is completely up to you if you want to use length() or size():']",[''],[''],[],[]
cpp||Access Strings,https://www.w3schools.com/cpp/cpp_strings_access.asp,,"['Access Strings', 'Change String Characters']","['You can access the characters in a string by referring to its index number \ninside square brackets [].This example prints the first character in \nmyString:This example prints the second character in \nmyString:', 'To change the value of a specific character in a string, refer to the index \nnumber, and use single quotes:']","['\n  string \n  myString = ""Hello"";cout << myString[0];// Outputs H\n &&&&&& \n  string \n  myString = ""Hello"";cout << myString[1];// Outputs e\n', '\n  string \n  myString = ""Hello"";myString[0] = \'J\';cout << myString;// \n  Outputs Jello instead of Hello\n']",[''],[],[]
cpp||User Input Strings,https://www.w3schools.com/cpp/cpp_strings_input.asp,,['User Input Strings'],"['It is possible to use the extraction operator >> on cin to display a string entered by a user:However, cin considers a space (whitespace, tabs, etc) as a terminating \ncharacter, which means that it can only display a single word (even if you type \nmany words):From the example above, you would expect the program to print ""John Doe"", but it only prints ""John"". That\'s why, when working with strings, we often use the getline() \nfunction to read a line of text. It takes cin as the first parameter, and the string \nvariable as second:']",[''],[''],[],[]
cpp||String Namespace,https://www.w3schools.com/cpp/cpp_strings_namespace.asp,,['Omitting Namespace'],"['You might see some C++ programs that runs without the standard namespace library. The using namespace std line can be omitted and replaced with the std keyword, \nfollowed by the :: operator \nfor string (and cout) objects:']","['\n  #include <iostream>#include <string>int main() {\xa0\n  std::string greeting = ""Hello"";\xa0 std::cout \n  << greeting;\xa0 return 0;}']",[''],[],[]
cpp||Math,https://www.w3schools.com/cpp/cpp_math.asp,,"['C++ Math', 'Max and min', 'C++  <cmath> Header', 'Other Math Functions']","['C++ has many functions that allows you to perform mathematical tasks on numbers.', 'The max(x,y) function can be used to find the highest value of x and\ny:And the min(x,y) function can be used to find the lowest value of \nx \nand y:', 'Other functions, such as sqrt (square root), round (rounds a number) and log \n(natural logarithm), can be found in the <cmath> header \nfile:', 'A list of other popular Math functions (from the <cmath> library) can be found in the table below:']","['\n  cout << max(5, 10);\n &&&&&& \n  cout << min(5, 10);\n', '\n  // Include the cmath library#include <cmath>cout << \n  sqrt(64);cout << round(2.6);cout << log(2);\n', '', '']",[''],"['Function|||Description|||&&&abs(x)|||Returns the absolute value of x|||&&&acos(x)|||Returns the arccosine of x|||&&&asin(x)|||Returns the arcsine of x|||&&&atan(x)|||Returns the arctangent of x|||&&&cbrt(x)|||Returns the cube root of x|||&&&ceil(x)|||Returns the value of x rounded up to its nearest integer|||&&&cos(x)|||Returns the cosine of x|||&&&cosh(x)|||Returns the hyperbolic cosine of x|||&&&exp(x)|||Returns the value of Ex|||&&&expm1(x)|||Returns ex -1|||&&&fabs(x)|||Returns the absolute value of a floating x|||&&&fdim(x, y)|||Returns the positive difference between x and y|||&&&floor(x)|||Returns the value of x rounded down to its nearest integer|||&&&hypot(x, y)|||Returns sqrt(x2 +y2) without intermediate overflow or underflow|||&&&fma(x, y, z)|||Returns x*y+z without losing precision|||&&&fmax(x, y)|||Returns the highest value of a floating x and y|||&&&fmin(x, y)|||Returns the lowest value of a floating x and y|||&&&fmod(x, y)|||Returns the floating point remainder of x/y|||&&&pow(x, y)|||Returns the value of x to the power of y|||&&&sin(x)|||Returns the sine of x (x is in radians)|||&&&sinh(x)|||Returns the hyperbolic sine of a double value|||&&&tan(x)|||Returns the tangent of an angle|||&&&tanh(x)|||Returns the hyperbolic tangent of a double value|||&&&']",[]
cpp||Booleans,https://www.w3schools.com/cpp/cpp_booleans.asp,,"['C++ Booleans', 'Boolean Values']","['Very often, in programming, you will need a data type that can only have one of two values, like:For this, C++ has a bool data type, which can take the values true \n(1) or false (0).', 'A boolean variable is declared with the bool keyword and can only take the values true or false:From the example above, you can read that a true value returns 1, and false returns 0.However, it is more common to return boolean values from boolean expressions\n(see next page).']","['\n  bool isCodingFun = true;bool isFishTasty = false;cout << isCodingFun;\xa0 \n  // Outputs 1 (true)cout << isFishTasty;\xa0 // Outputs 0 (false)', '']",['C++ Booleans###&&&|||YES / NO|||ON / OFF|||TRUE / FALSE|||'],[],[]
cpp||Booleans,https://www.w3schools.com/cpp/cpp_booleans.asp,,"['C++ Booleans', 'Boolean Values']","['Very often, in programming, you will need a data type that can only have one of two values, like:For this, C++ has a bool data type, which can take the values true \n(1) or false (0).', 'A boolean variable is declared with the bool keyword and can only take the values true or false:From the example above, you can read that a true value returns 1, and false returns 0.However, it is more common to return boolean values from boolean expressions\n(see next page).']","['\n  bool isCodingFun = true;bool isFishTasty = false;cout << isCodingFun;\xa0 \n  // Outputs 1 (true)cout << isFishTasty;\xa0 // Outputs 0 (false)', '']",['C++ Booleans###&&&|||YES / NO|||ON / OFF|||TRUE / FALSE|||'],[],[]
